"","ASV1","ASV2","ASV3","ASV4","ASV5","ASV6","ASV7","ASV8","ASV9","ASV10","ASV11","ASV12","ASV13","ASV14","ASV15","ASV16","ASV17","ASV18","ASV19","ASV20","ASV21","ASV22","ASV23","ASV24","ASV25","ASV26","ASV27","ASV28","ASV29","ASV30","ASV31","ASV32","ASV33","ASV34","ASV35","ASV36","ASV37","ASV38","ASV39","ASV40","ASV41","ASV42","ASV43","ASV44","ASV45","ASV46","ASV47","ASV48","ASV49","ASV50","ASV51","ASV52","ASV53","ASV54","ASV55","ASV56","ASV57","ASV58","ASV59","ASV60","ASV61","ASV62","ASV63","ASV64","ASV65","ASV66","ASV67","ASV68","ASV69","ASV70","ASV71","ASV72","ASV73","ASV74","ASV75","ASV76","ASV77","ASV78","ASV79","ASV80","ASV81","ASV82","ASV83","ASV84","ASV85","ASV86","ASV87","ASV88","ASV89","ASV90","ASV91","ASV92","ASV93","ASV94","ASV95","ASV96","ASV97","ASV98","ASV99","ASV100","ASV101","ASV102","ASV103","ASV104","ASV105","ASV106","ASV107","ASV108","ASV109","ASV110","ASV111","ASV112","ASV113","ASV114","ASV115","ASV116","ASV117","ASV118","ASV119","ASV120","ASV121","ASV122","ASV123","ASV124","ASV125","ASV126","ASV127","ASV128","ASV129","ASV130","ASV131","ASV132","ASV133","ASV134","ASV135","ASV136","ASV137","ASV138","ASV139","ASV140","ASV141","ASV142","ASV143","ASV144"
"806rcbc288_F_filtered.fastq.gz",714,364,395,349,91,170,44,162,34,0,63,15,46,13,0,31,24,38,14,0,58,0,25,27,15,0,0,0,47,27,0,16,21,10,0,0,0,0,7,0,0,7,0,0,9,0,0,2,0,14,21,0,7,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"806rcbc289_F_filtered.fastq.gz",770,528,195,203,438,85,87,151,12,130,36,122,50,64,75,30,36,111,95,47,28,32,0,19,51,46,0,26,0,22,40,0,0,11,0,0,14,14,0,0,0,10,8,0,0,12,0,12,0,0,0,0,8,12,0,26,14,0,0,9,6,0,0,0,26,10,0,8,0,0,0,0,9,0,0,0,9,5,0,0,0,7,0,0,0,4,0,0,0,0,7,5,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"806rcbc290_F_filtered.fastq.gz",500,726,163,181,392,123,258,107,14,158,26,88,0,73,54,18,69,10,54,37,26,31,11,41,34,24,66,31,0,6,50,0,0,0,8,0,8,24,39,17,0,5,18,0,9,34,0,0,0,7,0,0,4,17,0,0,6,0,0,8,9,0,4,4,0,10,0,6,11,0,0,11,6,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,10,5,0,0,9,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0
"806rcbc291_F_filtered.fastq.gz",689,884,709,331,0,65,151,225,6,42,51,13,20,8,25,28,4,0,0,28,32,0,44,35,13,8,0,0,98,21,0,23,31,15,0,0,7,0,0,0,0,0,0,0,23,0,0,0,0,10,10,0,0,0,0,17,3,0,0,0,0,0,5,13,5,0,14,0,0,17,0,0,0,0,0,0,0,6,11,0,0,0,0,4,17,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
"806rcbc292_F_filtered.fastq.gz",878,554,373,409,93,320,63,253,37,9,81,28,22,8,10,44,0,24,11,0,31,0,0,27,15,8,53,5,0,0,13,0,0,14,0,0,0,5,13,8,0,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,6,0,0,0,3,8,0,0,0,6,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"806rcbc293_F_filtered.fastq.gz",1232,192,505,442,84,208,39,0,0,12,108,16,127,11,9,59,0,54,21,0,27,12,0,6,8,0,0,6,0,7,0,0,0,8,0,0,0,5,0,7,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"806rcbc294_F_filtered.fastq.gz",578,662,158,128,332,68,240,0,0,16,27,55,13,124,76,21,119,0,32,66,11,33,44,15,0,20,44,35,0,16,0,6,9,27,22,43,18,3,0,21,14,7,11,0,0,0,0,25,20,0,0,20,0,15,0,0,0,12,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"806rcbc297_F_filtered.fastq.gz",910,180,512,490,131,226,64,0,0,45,99,19,75,21,9,40,46,59,21,21,11,27,0,10,9,8,0,7,0,7,0,5,0,0,5,12,0,0,0,0,0,14,12,0,0,0,0,0,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,7,7,0,0,0,0,4,6,0,0,0,4,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
"806rcbc298_F_filtered.fastq.gz",787,648,46,221,737,0,144,0,59,122,13,80,22,47,109,33,31,14,21,40,0,49,8,12,9,32,0,22,0,21,21,31,22,15,47,31,26,23,0,18,0,8,20,0,6,0,0,14,33,0,0,0,9,0,0,0,0,19,22,16,0,0,0,0,0,0,0,0,7,0,7,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,8,0,0,0,0,0,0,0,0,6,6,0,0,0,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,2
"806rcbc299_F_filtered.fastq.gz",864,538,63,166,114,68,110,0,654,0,18,17,41,46,6,61,11,0,14,0,0,24,65,0,14,21,0,14,0,13,0,22,18,0,8,0,6,0,14,0,57,0,0,65,0,0,56,0,0,12,17,28,0,0,44,0,17,0,4,0,7,34,10,6,0,0,16,0,0,9,0,0,0,5,0,21,4,0,5,20,19,0,18,0,0,4,0,16,16,15,0,0,0,0,4,0,0,0,12,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0
